term,pmid,focused_sentences,text,relationships,model_curie:ft-user-92vwagyayt5ojmicz5l5vwi1-2021-10-01-12-16-16
causes,29889859," A clear difference in the weighted frequency of bacterial meningitis cases caused by the different etiological agents was observed between age groups and between geographic regions. 

###

","GLOBAL ETIOLOGY OF BACTERIAL MENINGITIS: A SYSTEMATIC REVIEW AND META-ANALYSIS. Bacterial meningitis is a global public health concern, with several responsible etiologic agents that vary by age group and geographical area. The aim of this systematic review and meta-analysis was to assess the etiology of bacterial meningitis in different age groups across global regions. PubMed and EMBASE were systematically searched for English language studies on bacterial meningitis, limited to articles published in the last five years. The methodological quality of the studies was assessed using a customized scoring system. Meta-analyses were conducted to determine the frequency (percentages) of seven bacterial types known to cause meningitis: Escherichia coli, Haemophilus influenzae, Neisseria meningitidis, Streptococcus pneumoniae, group B Streptococcus agalactiae, Staphylococcus aureus, and Listeria monocytogenes, with results being stratified by six geographical regions as determined by the World Health Organization, and seven age groups. Of the 3227 studies retrieved, 56 were eligible for the final analysis. In all age groups, S. pneumoniae and N. meningitidis were the predominant pathogens in all regions, accounting for 25.1-41.2% and 9.1-36.2% of bacterial meningitis cases, respectively. S. pneumoniae infection was the most common cause of bacterial meningitis in the 'all children' group, ranging from 22.5% (Europe) to 41.1% (Africa), and in all adults ranging from 9.6% (Western Pacific) to 75.2% (Africa). E. coli and S. pneumoniae were the most common pathogens that caused bacterial meningitis in neonates in Africa (17.7% and 20.4%, respectively). N. meningitidis was the most common in children aged ±1-5 years in Europe (47.0%). Due to paucity of data, meta-analyses could not be performed in all age groups for all regions. A clear difference in the weighted frequency of bacterial meningitis cases caused by the different etiological agents was observed between age groups and between geographic regions. These findings may facilitate bacterial meningitis prevention and treatment strategies.",,
causes,29889859," Meta-analyses were conducted to determine the frequency (percentages) of seven bacterial types known to cause meningitis: Escherichia coli, Haemophilus influenzae, Neisseria meningitidis, Streptococcus pneumoniae, group B Streptococcus agalactiae, Staphylococcus aureus, and Listeria monocytogenes, with results being stratified by six geographical regions as determined by the World Health Organization, and seven age groups. 

###

","GLOBAL ETIOLOGY OF BACTERIAL MENINGITIS: A SYSTEMATIC REVIEW AND META-ANALYSIS. Bacterial meningitis is a global public health concern, with several responsible etiologic agents that vary by age group and geographical area. The aim of this systematic review and meta-analysis was to assess the etiology of bacterial meningitis in different age groups across global regions. PubMed and EMBASE were systematically searched for English language studies on bacterial meningitis, limited to articles published in the last five years. The methodological quality of the studies was assessed using a customized scoring system. Meta-analyses were conducted to determine the frequency (percentages) of seven bacterial types known to cause meningitis: Escherichia coli, Haemophilus influenzae, Neisseria meningitidis, Streptococcus pneumoniae, group B Streptococcus agalactiae, Staphylococcus aureus, and Listeria monocytogenes, with results being stratified by six geographical regions as determined by the World Health Organization, and seven age groups. Of the 3227 studies retrieved, 56 were eligible for the final analysis. In all age groups, S. pneumoniae and N. meningitidis were the predominant pathogens in all regions, accounting for 25.1-41.2% and 9.1-36.2% of bacterial meningitis cases, respectively. S. pneumoniae infection was the most common cause of bacterial meningitis in the 'all children' group, ranging from 22.5% (Europe) to 41.1% (Africa), and in all adults ranging from 9.6% (Western Pacific) to 75.2% (Africa). E. coli and S. pneumoniae were the most common pathogens that caused bacterial meningitis in neonates in Africa (17.7% and 20.4%, respectively). N. meningitidis was the most common in children aged ±1-5 years in Europe (47.0%). Due to paucity of data, meta-analyses could not be performed in all age groups for all regions. A clear difference in the weighted frequency of bacterial meningitis cases caused by the different etiological agents was observed between age groups and between geographic regions. These findings may facilitate bacterial meningitis prevention and treatment strategies.","
Escherichia coli, causes, meningitis
Haemophilus influenzae, causes, meningitis
Neisseria meningitidis, causes, meningitis
Streptococcus pneumoniae group B, causes, meningitis
Streptococcus agalactiae, causes, meningitis
Staphylococcus aureus, causes, meningitis
Listeria monocytogenes, causes, meningitis
",
causes,27048439," Systematic review was performed to locate articles reporting the definition, rate and/or cause of weight regain in patients at least 2 years post-SG. 

###

","WEIGHT REGAIN FOLLOWING SLEEVE GASTRECTOMY-A SYSTEMATIC REVIEW. Sleeve gastrectomy (SG) is a commonly performed bariatric procedure. Weight regain following SG is a significant issue. Yet the defining, reporting and understanding of this phenomenon remains largely neglected. Systematic review was performed to locate articles reporting the definition, rate and/or cause of weight regain in patients at least 2 years post-SG. A range of definitions employed to describe weight regain were identified in the literature. Rates of regain ranged from 5.7 % at 2 years to 75.6 % at 6 years. Proposed causes of weight regain included initial sleeve size, sleeve dilation, increased ghrelin levels, inadequate follow-up support and maladaptive lifestyle behaviours. Bariatric literature would benefit from standardising definitions used to report weight regain and its rate in clinical series. Larger prospective studies are required to further understand mechanisms of weight regain following SG.",,
causes,27048439," Proposed causes of weight regain included initial sleeve size, sleeve dilation, increased ghrelin levels, inadequate follow-up support and maladaptive lifestyle behaviours. 

###

","WEIGHT REGAIN FOLLOWING SLEEVE GASTRECTOMY-A SYSTEMATIC REVIEW. Sleeve gastrectomy (SG) is a commonly performed bariatric procedure. Weight regain following SG is a significant issue. Yet the defining, reporting and understanding of this phenomenon remains largely neglected. Systematic review was performed to locate articles reporting the definition, rate and/or cause of weight regain in patients at least 2 years post-SG. A range of definitions employed to describe weight regain were identified in the literature. Rates of regain ranged from 5.7 % at 2 years to 75.6 % at 6 years. Proposed causes of weight regain included initial sleeve size, sleeve dilation, increased ghrelin levels, inadequate follow-up support and maladaptive lifestyle behaviours. Bariatric literature would benefit from standardising definitions used to report weight regain and its rate in clinical series. Larger prospective studies are required to further understand mechanisms of weight regain following SG.",,
causes,29454115," Traumatic spinal injury (TSI) results from injury to bony, ligamentous, and/or neurologic structures of the spinal column and can cause significant morbidity and mortality. 

###

","TRAUMATIC SPINAL INJURY: GLOBAL EPIDEMIOLOGY AND WORLDWIDE VOLUME. Traumatic spinal injury (TSI) results from injury to bony, ligamentous, and/or neurologic structures of the spinal column and can cause significant morbidity and mortality. The global burden of TSI is poorly understood, so we performed a systematic review and meta-analysis to estimate the global volume of TSI.","
Traumatic spinal injury (TSI), causes, morbidity
Traumatic spinal injury (TSI), causes, mortality
",
causes,29454115," Traumatic spinal injury (TSI) results from injury to bony, ligamentous, and/or neurologic structures of the spinal column and can cause significant morbidity and mortality. 

###

","TRAUMATIC SPINAL INJURY: GLOBAL EPIDEMIOLOGY AND WORLDWIDE VOLUME. Traumatic spinal injury (TSI) results from injury to bony, ligamentous, and/or neurologic structures of the spinal column and can cause significant morbidity and mortality. The global burden of TSI is poorly understood, so we performed a systematic review and meta-analysis to estimate the global volume of TSI.","
Traumatic spinal injury (TSI), causes, morbidity
Traumatic spinal injury (TSI), causes, mortality
",
causes,31130079," Stenotrophomonas maltophilia can cause serious infections in immunocompromised patients. 

###

","ANTIMICROBIAL TREATMENT OF STENOTROPHOMONAS MALTOPHILIA INVASIVE INFECTIONS: SYSTEMATIC REVIEW. Stenotrophomonas maltophilia can cause serious infections in immunocompromised patients. The aim of this systematic review was to establish what invasive infections in humans are caused by S. maltophilia and to evaluate the optimal choice of antibiotics for their treatment. MEDLINE, EBSCO, SCOPUS, SCINDEKS and GOOGLE SCHOLAR were systematically searched for clinical trials, observational studies, case reports or case series describing invasive infections with S. maltophilia in patients of any age. S. maltophilia may cause invasive infections of various tissues in hospitalized patients. In the great majority of cases it was susceptible to co-trimoxazole, levofloxacin and ceftazidime. In about three fourths of the cases, the treatment was successful, while less than 20% of the patients died. S. maltophilia is increasingly associated with serious invasive infections in hospitalized patients and due to growing trend of resistance to almost all antibiotics requires a careful approach to patients who is harboring this bacterium.","
Stenotrophomonas maltophilia, causes, infections
",
causes,31130079,"The aim of this systematic review was to establish what invasive infections in humans are caused by S. 

###

","ANTIMICROBIAL TREATMENT OF STENOTROPHOMONAS MALTOPHILIA INVASIVE INFECTIONS: SYSTEMATIC REVIEW. Stenotrophomonas maltophilia can cause serious infections in immunocompromised patients. The aim of this systematic review was to establish what invasive infections in humans are caused by S. maltophilia and to evaluate the optimal choice of antibiotics for their treatment. MEDLINE, EBSCO, SCOPUS, SCINDEKS and GOOGLE SCHOLAR were systematically searched for clinical trials, observational studies, case reports or case series describing invasive infections with S. maltophilia in patients of any age. S. maltophilia may cause invasive infections of various tissues in hospitalized patients. In the great majority of cases it was susceptible to co-trimoxazole, levofloxacin and ceftazidime. In about three fourths of the cases, the treatment was successful, while less than 20% of the patients died. S. maltophilia is increasingly associated with serious invasive infections in hospitalized patients and due to growing trend of resistance to almost all antibiotics requires a careful approach to patients who is harboring this bacterium.",,
causes,31130079," maltophilia may cause invasive infections of various tissues in hospitalized patients. 

###

","ANTIMICROBIAL TREATMENT OF STENOTROPHOMONAS MALTOPHILIA INVASIVE INFECTIONS: SYSTEMATIC REVIEW. Stenotrophomonas maltophilia can cause serious infections in immunocompromised patients. The aim of this systematic review was to establish what invasive infections in humans are caused by S. maltophilia and to evaluate the optimal choice of antibiotics for their treatment. MEDLINE, EBSCO, SCOPUS, SCINDEKS and GOOGLE SCHOLAR were systematically searched for clinical trials, observational studies, case reports or case series describing invasive infections with S. maltophilia in patients of any age. S. maltophilia may cause invasive infections of various tissues in hospitalized patients. In the great majority of cases it was susceptible to co-trimoxazole, levofloxacin and ceftazidime. In about three fourths of the cases, the treatment was successful, while less than 20% of the patients died. S. maltophilia is increasingly associated with serious invasive infections in hospitalized patients and due to growing trend of resistance to almost all antibiotics requires a careful approach to patients who is harboring this bacterium.","
maltophilia, causes, infections
",
causes,26965725," Varicella-zoster virus (VZV) is a teratogen that can cross the placenta and cause the congenital varicella syndrome (CVS), which is characterised by multi-system anomalies. 

###

","CONGENITAL VARICELLA SYNDROME: A SYSTEMATIC REVIEW. Varicella-zoster virus (VZV) is a teratogen that can cross the placenta and cause the congenital varicella syndrome (CVS), which is characterised by multi-system anomalies. There have been 130 reported cases of CVS from 1947 to 2013. The estimated incidence of CVS was 0.59% and 0.84% for women infected with VZV during the entire pregnancy and for those infected the first 20 weeks of pregnancy, respectively. Nine cases were reported at 21-27 weeks of gestation and one case was identified at 36 weeks. Herpes zoster caused CVS in two cases. Regarding treatment, varicella zoster immunoglobulin treatment, irrespective of gestational age, should be considered in addition to antiviral drugs for women who have been exposed to or infected with virus. ","
Varicella-zoster virus (VZV), causes, congenital varicella syndrome (CVS)
",
causes,26965725," Herpes zoster caused CVS in two cases. 

###

","CONGENITAL VARICELLA SYNDROME: A SYSTEMATIC REVIEW. Varicella-zoster virus (VZV) is a teratogen that can cross the placenta and cause the congenital varicella syndrome (CVS), which is characterised by multi-system anomalies. There have been 130 reported cases of CVS from 1947 to 2013. The estimated incidence of CVS was 0.59% and 0.84% for women infected with VZV during the entire pregnancy and for those infected the first 20 weeks of pregnancy, respectively. Nine cases were reported at 21-27 weeks of gestation and one case was identified at 36 weeks. Herpes zoster caused CVS in two cases. Regarding treatment, varicella zoster immunoglobulin treatment, irrespective of gestational age, should be considered in addition to antiviral drugs for women who have been exposed to or infected with virus. ","
Herpes zoster, causes, CVS
",
causes,25304324," The Global Burden of Disease Study 2010 (GBD 2010) documented that ischemic heart disease and stroke collectively caused 1 in 4 deaths worldwide. 

###

","THROMBOSIS: A MAJOR CONTRIBUTOR TO GLOBAL DISEASE BURDEN. Thrombosis is the common pathology underlying ischemic heart disease, ischemic stroke, and venous thromboembolism (VTE). The Global Burden of Disease Study 2010 (GBD 2010) documented that ischemic heart disease and stroke collectively caused 1 in 4 deaths worldwide. GBD 2010 did not report data for VTE as a cause of death and disability.","
ischemic heart disease, causes, death
stroke, causes, death
",
causes,27922335," Worldwide, nutritional rickets continues to be an evolving problem with several causes. 

###

","NUTRITIONAL RICKETS AROUND THE WORLD: AN UPDATE. Worldwide, nutritional rickets continues to be an evolving problem with several causes. This paper provides an updated literature review characterising the prevalence, aetiology, pathophysiology and treatment of nutritional rickets worldwide. A systematic review of articles on nutritional rickets from various geographical regions was undertaken. For each region, key information was extracted, including prevalence, cause of rickets specific to the region, methods of confirming the diagnosis and current treatment and preventive measures. Calcium deficiency continues to be a major cause of rickets in Africa and Asia. Vitamin D deficiency rickets is perhaps increasing in the Americas, Europe and parts of the Middle East. There continues to be a distinct presentation of calcium-predominant versus vitamin D predominant rickets, although there are overlapping features. More careful diagnosis of rickets and reporting of 25-OHD concentrations has improved accurate knowledge of rickets prevalence and better delineated the cause. Nutritional rickets continues to be an evolving and multi-factorial problem worldwide. It is on a spectrum, ranging from isolated vitamin D deficiency to isolated calcium deficiency. Specific areas which require emphasis include a consistent community approach to screening and diagnosis, vitamin D supplementation of infants and at-risk children, prevention of maternal vitamin D deficiency and the provision of calcium in areas with low calcium diets.",,
causes,27922335," For each region, key information was extracted, including prevalence, cause of rickets specific to the region, methods of confirming the diagnosis and current treatment and preventive measures. 

###

","NUTRITIONAL RICKETS AROUND THE WORLD: AN UPDATE. Worldwide, nutritional rickets continues to be an evolving problem with several causes. This paper provides an updated literature review characterising the prevalence, aetiology, pathophysiology and treatment of nutritional rickets worldwide. A systematic review of articles on nutritional rickets from various geographical regions was undertaken. For each region, key information was extracted, including prevalence, cause of rickets specific to the region, methods of confirming the diagnosis and current treatment and preventive measures. Calcium deficiency continues to be a major cause of rickets in Africa and Asia. Vitamin D deficiency rickets is perhaps increasing in the Americas, Europe and parts of the Middle East. There continues to be a distinct presentation of calcium-predominant versus vitamin D predominant rickets, although there are overlapping features. More careful diagnosis of rickets and reporting of 25-OHD concentrations has improved accurate knowledge of rickets prevalence and better delineated the cause. Nutritional rickets continues to be an evolving and multi-factorial problem worldwide. It is on a spectrum, ranging from isolated vitamin D deficiency to isolated calcium deficiency. Specific areas which require emphasis include a consistent community approach to screening and diagnosis, vitamin D supplementation of infants and at-risk children, prevention of maternal vitamin D deficiency and the provision of calcium in areas with low calcium diets.",,
causes,27922335,"Calcium deficiency continues to be a major cause of rickets in Africa and Asia. 

###

","NUTRITIONAL RICKETS AROUND THE WORLD: AN UPDATE. Worldwide, nutritional rickets continues to be an evolving problem with several causes. This paper provides an updated literature review characterising the prevalence, aetiology, pathophysiology and treatment of nutritional rickets worldwide. A systematic review of articles on nutritional rickets from various geographical regions was undertaken. For each region, key information was extracted, including prevalence, cause of rickets specific to the region, methods of confirming the diagnosis and current treatment and preventive measures. Calcium deficiency continues to be a major cause of rickets in Africa and Asia. Vitamin D deficiency rickets is perhaps increasing in the Americas, Europe and parts of the Middle East. There continues to be a distinct presentation of calcium-predominant versus vitamin D predominant rickets, although there are overlapping features. More careful diagnosis of rickets and reporting of 25-OHD concentrations has improved accurate knowledge of rickets prevalence and better delineated the cause. Nutritional rickets continues to be an evolving and multi-factorial problem worldwide. It is on a spectrum, ranging from isolated vitamin D deficiency to isolated calcium deficiency. Specific areas which require emphasis include a consistent community approach to screening and diagnosis, vitamin D supplementation of infants and at-risk children, prevention of maternal vitamin D deficiency and the provision of calcium in areas with low calcium diets.","
Calcium deficiency, causes, rickets
",
causes,27922335," More careful diagnosis of rickets and reporting of 25-OHD concentrations has improved accurate knowledge of rickets prevalence and better delineated the cause. 

###

","NUTRITIONAL RICKETS AROUND THE WORLD: AN UPDATE. Worldwide, nutritional rickets continues to be an evolving problem with several causes. This paper provides an updated literature review characterising the prevalence, aetiology, pathophysiology and treatment of nutritional rickets worldwide. A systematic review of articles on nutritional rickets from various geographical regions was undertaken. For each region, key information was extracted, including prevalence, cause of rickets specific to the region, methods of confirming the diagnosis and current treatment and preventive measures. Calcium deficiency continues to be a major cause of rickets in Africa and Asia. Vitamin D deficiency rickets is perhaps increasing in the Americas, Europe and parts of the Middle East. There continues to be a distinct presentation of calcium-predominant versus vitamin D predominant rickets, although there are overlapping features. More careful diagnosis of rickets and reporting of 25-OHD concentrations has improved accurate knowledge of rickets prevalence and better delineated the cause. Nutritional rickets continues to be an evolving and multi-factorial problem worldwide. It is on a spectrum, ranging from isolated vitamin D deficiency to isolated calcium deficiency. Specific areas which require emphasis include a consistent community approach to screening and diagnosis, vitamin D supplementation of infants and at-risk children, prevention of maternal vitamin D deficiency and the provision of calcium in areas with low calcium diets.",,
causes,32719687," An unprecedented outbreak of pneumonia caused by a novel coronavirus (CoV), subsequently termed COVID-19 by the World Health Organization, emerged in Wuhan City (China) in December 2019. 

###

","CELL-MEDIATED IMMUNE RESPONSES TO COVID-19 INFECTION. An unprecedented outbreak of pneumonia caused by a novel coronavirus (CoV), subsequently termed COVID-19 by the World Health Organization, emerged in Wuhan City (China) in December 2019. Despite rigorous containment and quarantine efforts, the incidence of COVID-19 continues to expand, causing explosive outbreaks in more than 160 countries with waves of morbidity and fatality, leading to significant public health problems. In the past 20 years, two additional epidemics caused by CoVs have occurred: severe acute respiratory syndrome-CoV, which has caused a large-scale epidemic in China and 24 other countries; and respiratory syndrome-CoV of the Middle East in Saudi Arabia, which continues to cause sporadic cases. All of these viruses affect the lower respiratory tract and manifest as pneumonia in humans, but the novel SARS-Cov-2 appears to be more contagious and has spread more rapidly worldwide. This mini-review focuses on the cellular immune response to COVID-19 in human subjects, compared to other clinically relevant coronaviruses to evaluate its role in the control of infection and pathogenesis and accelerate the development of a preventive vaccine or immune therapies.","
COVID-19, causes, pneumonia
",
causes,32719687,"Despite rigorous containment and quarantine efforts, the incidence of COVID-19 continues to expand, causing explosive outbreaks in more than 160 countries with waves of morbidity and fatality, leading to significant public health problems. 

###

","CELL-MEDIATED IMMUNE RESPONSES TO COVID-19 INFECTION. An unprecedented outbreak of pneumonia caused by a novel coronavirus (CoV), subsequently termed COVID-19 by the World Health Organization, emerged in Wuhan City (China) in December 2019. Despite rigorous containment and quarantine efforts, the incidence of COVID-19 continues to expand, causing explosive outbreaks in more than 160 countries with waves of morbidity and fatality, leading to significant public health problems. In the past 20 years, two additional epidemics caused by CoVs have occurred: severe acute respiratory syndrome-CoV, which has caused a large-scale epidemic in China and 24 other countries; and respiratory syndrome-CoV of the Middle East in Saudi Arabia, which continues to cause sporadic cases. All of these viruses affect the lower respiratory tract and manifest as pneumonia in humans, but the novel SARS-Cov-2 appears to be more contagious and has spread more rapidly worldwide. This mini-review focuses on the cellular immune response to COVID-19 in human subjects, compared to other clinically relevant coronaviruses to evaluate its role in the control of infection and pathogenesis and accelerate the development of a preventive vaccine or immune therapies.",,
causes,32719687,"In the past 20 years, two additional epidemics caused by CoVs have occurred: severe acute respiratory syndrome-CoV, which has caused a large-scale epidemic in China and 24 other countries; and respiratory syndrome-CoV of the Middle East in Saudi Arabia, which continues to cause sporadic cases. 

###

","CELL-MEDIATED IMMUNE RESPONSES TO COVID-19 INFECTION. An unprecedented outbreak of pneumonia caused by a novel coronavirus (CoV), subsequently termed COVID-19 by the World Health Organization, emerged in Wuhan City (China) in December 2019. Despite rigorous containment and quarantine efforts, the incidence of COVID-19 continues to expand, causing explosive outbreaks in more than 160 countries with waves of morbidity and fatality, leading to significant public health problems. In the past 20 years, two additional epidemics caused by CoVs have occurred: severe acute respiratory syndrome-CoV, which has caused a large-scale epidemic in China and 24 other countries; and respiratory syndrome-CoV of the Middle East in Saudi Arabia, which continues to cause sporadic cases. All of these viruses affect the lower respiratory tract and manifest as pneumonia in humans, but the novel SARS-Cov-2 appears to be more contagious and has spread more rapidly worldwide. This mini-review focuses on the cellular immune response to COVID-19 in human subjects, compared to other clinically relevant coronaviruses to evaluate its role in the control of infection and pathogenesis and accelerate the development of a preventive vaccine or immune therapies.","
CoVs, causes, epidemics
severe acute respiratory syndrome-CoV, causes, epidemic
",
causes,24888393," The literature contains no systematic review that explores alternative causes of a lipase level over three times as high as the ULN. 

###

",SIGNIFICANT ELEVATIONS OF SERUM LIPASE NOT CAUSED BY PANCREATITIS: A SYSTEMATIC REVIEW. Many authors advocate lipase as the preferred serological test for the diagnosis of pancreatitis and a cut-off level of three or more times the upper limit of normal (ULN) is often quoted. The literature contains no systematic review that explores alternative causes of a lipase level over three times as high as the ULN. Such a review was therefore the objective of this study.,,
