prompt,completion
"This systematic literature review looked into another cause of bad breath: adverse drug reactions in the orofacial region causing halitosis. 

###

"," 
adverse drug reactions | causes | halitosis
#####"
" According to these, drug-related halitosis may be caused by nine medications. 

###

"," 
medications | causes | halitosis
#####"
" The analysis showed that halitosis can be caused by medication but does not correlate to any specific disease or specific form of drug therapy. 

###

"," 
medication | causes | halitosis
#####"
" Pruritus is a common problem among elderly people and, when severe, causes as much discomfort as chronic pain. 

###

"," 
Pruritus | causes | discomfort
#####"
" Over the last 25 years, multiple genes have been reported to cause this condition and are routinely tested in patients. 

###

"," 

#####"
" The next steps are aimed at identification of both treatable acquired causes and those genetic causes of myoclonus that require a diagnostic approach other than NGS. 

###

"," 

#####"
"Finally, other genetic diseases that could cause myoclonus can be investigated simultaneously by NGS techniques. 

###

"," 

#####"
" Retinal vein occlusion (RVO) is the second most common cause of visual loss in the Western World. 

###

"," 
Retinal vein occlusion (RVO) | causes | visual loss
#####"
" The blockage of venous circulation causes an elevation of intraluminal pressure in the capillaries, leading to hemorrhages and leakage of fluid within the retina, increase of interstitial pressure and a consequent reduction of retinal perfusion. 

###

"," 

#####"
"Ischemia may develop resulting in secretion of vascular endothelial growth factor (VEGF) that causes further vascular leakage and retinal oedema. 

###

"," 
vascular endothelial growth factor (VEGF) | causes | vascular leakage
vascular endothelial growth factor (VEGF) | causes | retinal oedema
#####"
" Ischemia may develop resulting in secretion of vascular endothelial growth factor (VEGF) that causes further vascular leakage and retinal oedema. 

###

"," 
vascular endothelial growth factor (VEGF) | causes | vascular leakage
vascular endothelial growth factor (VEGF) | causes | retinal oedema
#####"
" From a clinical perspective, there is a need for a reliable and comprehensive list of diseases causing AA amyloidosis. 

###

"," 

#####"
"This list could guide clinicians in the evaluation of patients with AA amyloidosis in whom an obvious cause is lacking. 

###

"," 

#####"
"In this systematic review, a PubMed, Embase and Web of Science literature search were performed on causes of AA amyloidosis published in the last four decades. 

###

"," 

#####"
" Titles were excluded because of non-AA type of amyloidosis, language, no full-text publication or irrelevance. 

###

"," 

#####"
" Most newly described diseases are not really unexpected because they often cause longstanding inflammation. 

###

"," 
diseases | causes | inflammation
#####"
" Approximately 50% of pregnancy losses are caused by chromosomal abnormalities, such as aneuploidy. 

###

"," 
chromosomal abnormalities | causes | pregnancy losses
aneuploidy | causes | pregnancy losses
#####"
" Identification of the causes of stillbirth is critical to the primary prevention of stillbirth and to the provision of optimal care in subsequent pregnancies. 

###

"," 

#####"
" Though LBP can be caused by acute injuries, biomechanical discrepancies have also been indicated to cause chronic LBP. 

###

"," 
acute injuries | causes | LBP
biomechanical discrepancies | causes | LBP
#####"
" Specifically, excessive pronation has been shown to cause leg length discrepancies leading to pelvic tilts and LBP. 

###

"," 
excessive pronation | causes | leg length discrepancies
leg length discrepancies | causes | pelvic tilts
leg length discrepancies | causes | LBP
#####"
"Based on these results, ankle and foot deviations can be considered a potential cause for LBP due to the disruption of the kinetic chain from the foot to the back. 

###

"," 
ankle deviations | causes | LBP
foot deviations | causes | LBP
#####"
" Based on these results, ankle and foot deviations can be considered a potential cause for LBP due to the disruption of the kinetic chain from the foot to the back. 

###

"," 
ankle deviations | causes | LBP
foot deviations | causes | LBP
#####"
" Duchenne muscular dystrophy (DMD) is a severe X-linked neuromuscular childhood disorder that causes progressive muscle weakness and degeneration and results in functional decline, loss of ambulation and early death of young men due to cardiac or respiratory failure. 

###

"," 
Duchenne muscular dystrophy (DMD) | causes | muscle weakness
Duchenne muscular dystrophy (DMD) | causes | muscle degeneration
Duchenne muscular dystrophy (DMD) | causes | functional decline
Duchenne muscular dystrophy (DMD) | causes | loss of ambulation
Duchenne muscular dystrophy (DMD) | causes | death
Duchenne muscular dystrophy (DMD) | causes | cardiac failure
Duchenne muscular dystrophy (DMD) | causes | respiratory failure
respiratory failure | causes | death
cardiac failure | causes | death
#####"
" Infections of the genital tract are considered common causes of male fertility disorders, with a prevalence of 6-10%. 

###

"," 
Infections of the genital tract | causes | male fertility disorders
#####"
" Inconsistent diagnostic criteria have been applied to date, and this may explain the controversial debate about the role of infection and inflammation in the genital tract as a cause of infertility. 

###

"," 

#####"
" This systematic literature review examines the available data on mortality and causes of death in PwcHA to enable a better understanding of fatalities in PwcHA and evaluate the impact of new treatment paradigms on mortality. 

###

"," 

#####"
"A systematic literature review of observational studies was conducted by searching Medline, Embase, and clinical trials registries for articles published from January 2010 to March 2020, using the search terms: hemophilia A (HA), mortality, cause of death. 

###

"," 

#####"
" Hemorrhage, HIV, HCV, and hepatic disease were the leading causes of death. 

###

"," 
Hemorrhage | causes | death
HIV | causes | death
HCV | causes | death
hepatic disease | causes | death
#####"
" While the main causes of maternal mortality in low and middle income countries are well understood, less is known about whether patterns for causes of maternal deaths among adolescents are the same as for older women. 

###

"," 

#####"
"This study systematically reviews the literature on cause of maternal death in adolescence. 

###

"," 

#####"
" Commonly used antiepileptic drugs are typically ineffective against metabolic epilepsy as they do not address its root cause. 

###

"," 

#####"
" These methods were tailored to address the root causes of the metabolic disturbances rather than targeting the epilepsy phenotype alone. 

###

"," 

#####"
" The Global Burden of Diseases, Injuries, and Risk Factors (GBD) Study 2010 documented that ischemic heart disease and stroke collectively caused one in four deaths worldwide. 

###

"," 
ischemic heart disease | causes | death
stroke | causes | death
#####"
"GBD 2010 did not report data for VTE as a cause of death and disability. 

###

"," 

#####"
"We performed a systematic review of the literature on the global disease burden caused by VTE in low-income, middle-income and high-income countries. 

###

"," 
VTE | causes | disease
#####"
" Although the incidence is lower in individuals of Chinese and Korean ethnicity, their disease burden is not low, because of population aging. 

###

"," 

#####"
"VTE associated with hospitalization was the leading cause of disability-adjusted life-years (DALYs) lost in low-income and middle-income countries, and the second most common cause in high-income countries, being responsible for more DALYs lost than nosocomial pneumonia, catheter-related bloodstream infections, and adverse drug events. 

###

"," 

#####"
"VTE causes a major burden of disease across low-income, middle-income and high-income countries. 

###

"," 
VTE | causes | disease
#####"
" Objective of this systematic review was to establish whether and what invasive infections in humans were caused by Kocuria kristinae, and to evaluate outcomes of administered antibiotic treatment. 

###

"," 

#####"
" kristinae is a pathogen microorganism that could cause invasive infections of various tissues in patients of any age. 

###

"," 

#####"
" Preeclampsia, which affects approximately 5% of pregnancies, is a leading cause of maternal and perinatal death. 

###

"," 
Preeclampsia | causes | maternal death
Preeclampsia | causes | perinatal death
#####"
"The causes of preeclampsia remain unclear, but there is evidence for inherited susceptibility. 

###

"," 
inheritence | causes | preeclampsia
#####"
" In particular, post-operative complications are the major causes of high mortality derived from the esophageal cancer. 

###

"," 
post-operative complications | causes | mortality
esophageal cancer | causes | mortality
#####"
" Bronchiectasis is usually a complication of previous lower respiratory infection, and causes chronic cough and copious production of sputum, which is often purulent. 

###

"," 
Bronchiectasis | causes | chronic cough
Bronchiectasis | causes | production of sputum
#####"
"Bronchiectasis may cause signs of chronic obstructive pulmonary disease. 

###

"," 

#####"
" Calciphylaxis, or calcific uremic arteriolopathy, is a well-described entity in end-stage kidney disease and renal transplant patients; however, little systematic information is available on calciphylaxis from nonuremic causes. 

###

"," 

#####"
" In this systematic review, we give an overview of the frequency, causes, and consequences of MRI-defined silent brain infarcts, which are detected in 20% of healthy elderly people and up to 50% of patients in selected series. 

###

"," 

#####"
"Most infarcts are lacunes, of which hypertensive small-vessel disease is thought to be the main cause. 

###

"," 
hypertensive small-vessel disease | causes | lacunar infarcts
#####"
" Otitis media (OM) is a leading cause of health care visits and drugs prescription. 

###

"," 
Otitis media (OM) | causes | health care visits
Otitis media (OM) | causes | prescription
#####"
"Its complications and sequelae are important causes of preventable hearing loss, particularly in developing countries. 

###

"," 

#####"
" Reports of individuals with point mutations in SHANK3 exhibiting neuropsychiatric decompensation and loss of skills demonstrate that loss of one copy of SHANK3 is sufficient to cause these manifestations. 

###

"," 
loss of one copy of SHANK3 | causes | neuropsychiatric decompensation
loss of one copy of SHANK3 | causes | loss of skills
#####"
"In the majority of cases, no apparent cause could be identified; in others, symptoms appeared after acute events, such as infections, prolonged or particularly intense seizures, or changes in the individual's environment. 

###

"," 

#####"
"In PubMed (500 titles) and Scopus (272), the search terms ""nasal bone fracture"" AND ""etiology OR cause"" were used. 

###

"," 

#####"
"The causes of NBFs were different between adults and children. 

###

"," 

#####"
" The causes of NBFs varied geographically. 

###

"," 

#####"
" Ear wax only becomes a problem if it causes a hearing impairment or other ear-related symptoms. 

###

"," 
Ear wax | causes | hearing impairment
Ear wax | causes | ear-related symptoms
#####"
"Ear wax is more likely to accumulate and cause a hearing impairment when normal extrusion is prevented; for example, by the use of hearing aids, or by the use of cotton buds to clean the ears. 

###

"," 
Ear wax | causes | hearing impairment
#####"
" The economic burden and health threats caused by these coronaviruses are extremely dreadful and getting more serious as the increasing number of global infections and attributed deaths of SARS-CoV-2 and MERS-CoV. 

###

"," 
coronaviruses | causes | economic burden
coronaviruses | causes | health threats
SARS-CoV-2 | causes | death
MERS-CoV | causes | death
#####"
" Moreover, the fast spread of misinformation about the ongoing SARS-CoV-2 pandemic uniquely places the virus alongside an annoying infodemic and causes unnecessary worldwide panic. 

###

"," 
misinformation | causes | panic
#####"
" By gaining a deeper understanding of hCoVs and the illnesses caused by them, we can bridge knowledge gaps, provide cultural weapons for fighting and controling the spread of MERS-CoV and SARS-CoV-2, and prepare effective and robust defense lines against hCoVs that may emerge or reemerge in the future. 

###

"," 
hCoVs | causes | illnesses
#####"
" Extra-oral halitosis is a type of halitosis caused by systemic conditions, bloodborne diseases, or pharmaceutical therapy. 

###

"," 
systemic conditions | causes | extra-oral halitosis
bloodborne diseases | causes | extra-oral halitosis
pharmaceutical therapy | causes | extra-oral halitosis
#####"
" A medication error (ME) is an error that causes damage or poses a threat of harm to a patient. 

###

"," 
medication error (ME) | causes | damage to a patient
#####"
"Several studies have shown that only a minority of MEs actually causes harm, and this might explain why medication reviews at hospital admission reduce the number of MEs without showing an effect on length of hospital stay, readmissions, or death. 

###

"," 
MEs | causes | harm
#####"
"The purpose of this study was to define drugs that actually cause serious MEs. 

###

"," 
drugs | causes | MEs
#####"
" ARDS is an acute and progressive respiratory disease of a non-cardiac cause that is associated with progressively diffuse bilateral pulmonary infiltrates, reduced pulmonary compliance, and hypoxaemia. 

###

"," 

#####"
"The main causes of ARDS include direct lung injury (e.g

###

"," 
lung injury | causes | ARDS
#####"
" Between one third and one half of people with ARDS die from the disease, but mortality depends on the underlying cause. 

###

"," 

#####"
" Elucidation of the causes of premature ovarian failure (POF) is difficult due to the heterogeneity of the condition. 

###

"," 

#####"
" Identifying the cause of CP requires a systematic review of the many potential causes when the cause is not obvious. 

###

"," 

#####"
"The identification of patients with autoimmune CP is particularly important because treatment with steroids may be effective. 

###

"," 

#####"
" We performed a systematic review to assess the following in this population: (1) the main causes of acute and recurrent cough, either exercise-induced or not, (2) how cough is assessed, and (3) how cough is treated in this population. 

###

"," 

#####"
" Strengths and weaknesses of these categories are examined in terms of proposed characteristics of a useful scientific definition of causation: it must be specific enough to distinguish causation from mere correlation, but not so narrow as to eliminate apparent causal phenomena from consideration. 

###

"," 

#####"
"Two categories-production and counterfactual-are present in any definition of causation but are not themselves sufficient as definitions. 

###

"," 

#####"
"The necessary and sufficient cause definition assumes that all causes are deterministic. 

###

"," 

#####"
"The sufficient-component cause definition attempts to explain probabilistic phenomena via unknown component causes. 

###

"," 

#####"
"Thus, on both of these views, heavy smoking can be cited as a cause of lung cancer only when the existence of unknown deterministic variables is assumed. 

###

"," 
heavy smoking | causes | lung cancer
#####"
"The probabilistic definition, however, avoids these assumptions and appears to best fit the characteristics of a useful definition of causation. 

###

"," 

#####"
" In debates in the literature over these goals, proponents of epidemiology as pure science tend to favour a narrower deterministic notion of causation models while proponents of epidemiology as public health tend to favour a probabilistic view. 

###

"," 

#####"
"The authors argue that a single definition of causation for the discipline should be and is consistent with both of these aims. 

###

"," 

#####"
" The underlying causes of chordae tendinae rupture (CTR) and their frequencies vary. 

###

"," 

#####"
" Among parents who suffer RPL, the best studied genetic cause is balanced chromosomal translocations. 

###

"," 
balanced chromosomal translocations | causes | RPL
#####"
" For evaluation of genetic abnormalities in cases of pregnancy loss, chromosomal microarray is more likely to yield interpretable results than karyotype due to cell culture failure. 

###

"," 

#####"
" TMA is a term used to describe multiple syndromes caused by microvascular thrombosis, including thrombotic thrombocytopenic purpura (TTP), Shiga toxin-mediated hemolytic uremic syndrome, and complement-mediated TMA. 

###

"," 
microvascular thrombosis | causes | TMA
microvascular thrombosis | causes | thrombotic thrombocytopenic purpura (TTP)
microvascular thrombosis | causes | Shiga toxin-mediated hemolytic uremic syndrome
microvascular thrombosis | causes | complement-mediated TMA
#####"
"In patients with cancer, systemic microvascular metastases and bone marrow involvement can cause microangiopathic hemolytic anemia and thrombocytopenia. 

###

"," 
systemic microvascular metastases | causes | microangiopathic hemolytic anemia
systemic microvascular metastases | causes | thrombocytopenia
bone marrow involvement with cancer | causes | microangiopathic hemolytic anemia
bone marrow involvement with cancer | causes | thrombocytopenia
#####"
" TMA may also be caused by commonly used chemotherapy agents, either through dose-dependent toxicity or an acute immune-mediated reaction. 

###

"," 
chemotherapy | causes | TMA
chemotherapy | causes | toxicity
chemotherapy | causes | acute immune-mediated reaction
toxicity | causes | TMA
acute immune-mediated reaction | causes | TMA
#####"
"These causes of TMA must be distinguished from TTP, which results from a severe deficiency of ADAMTS13 and is the most common cause of TMA among adults without cancer. 

###

"," 
severe deficiency of ADAMTS13 | causes | TTP
TTP | causes | TMA
#####"
" These causes of TMA must be distinguished from TTP, which results from a severe deficiency of ADAMTS13 and is the most common cause of TMA among adults without cancer. 

###

"," 
severe deficiency of ADAMTS13 | causes | TTP
TTP | causes | TMA
#####"
"A SYSTEMATIC REVIEW OF CAUSES OF SUDDEN AND SEVERE HEADACHE (THUNDERCLAP HEADACHE): SHOULD LISTS BE EVIDENCE BASED? There are many potential causes of sudden and severe headache (thunderclap headache), the most important of which is aneurysmal subarachnoid haemorrhage. 

###

"," 
aneurysmal subarachnoid haemorrhage | causes | sudden and severe headache (thunderclap headache)
#####"
"Published academic reviews report a wide range of causes. 

###

"," 

#####"
" This literature review presents two unusual and mystifying disorders of penile erection: painful nocturnal erections, alternatively termed sleep-related painful erections, and idiopathic stuttering priapism, a variant of recurrent ischemic priapism in which no cause is discernible. 

###

"," 

#####"
" The main subject areas of discussion are recognition, clinical evaluation and management although current concepts surrounding their causes and mechanisms are also addressed. 

###

"," 

#####"
" The causes of Permanent Childhood Hearing Impairment (PCHI) are often quoted as being hereditary in 50%, acquired in 25%, and unknown in 25% of cases. 

###

"," 
inheritance | causes | Permanent Childhood Hearing Impairment (PCHI)
#####"
"Interest in the causes of PCHI has grown recently due to increasing diagnostic possibilities. 

###

"," 

#####"
" Interest in the causes of PCHI has grown recently due to increasing diagnostic possibilities. 

###

"," 

#####"
" To investigate how many people return to work (RTW) after acquiring brain injury (ABI) due to traumatic or non-traumatic causes. 

###

"," 

#####"
" Paresthesia is a neurosensitivity disorder caused by injury to the neural tissue. 

###

"," 
injury to the neural tissue | causes | paresthesia
#####"
" Paresthesia related to endodontic treatment can occur because of extravasation of filling material or the intracanal dressing, as a consequence of periapical surgery or because of periapical infection. 

###

"," 

#####"
" Concurrently, clusters of children with acute flaccid paralysis of unknown cause were reported in several US states and in Europe. 

###

"," 

#####"
" Complications in patients who were severely neurologically affected resemble those caused by poliomyelitis. 

###

"," 
poliomyelitis | causes | complications
#####"
"In this paper we systematically review reports on enterovirus D68 to estimate its global epidemiology and its ability to cause respiratory infections and neurological damage in children. 

###

"," 
enterovirus D68 | causes | respiratory infections
enterovirus D68 | causes | neurological damage
#####"
" When secondary patellar resurfacing is performed, a uniformly and widely used scoring system that is validated for anterior knee pain caused by a retropatellar degeneration will give more insight into the results of this procedure. 

###

"," 
retropatellar degeneration | causes | anterior knee pain
#####"
"The cause of anterior knee pain following total knee arthroplasty (TKA) is not always related to the patella itself. 

###

"," 

#####"
"Other causes have been identified, such as an insufficient posterior cruciate ligament in the case of a posterior cruciate-retaining TKA or an internally rotated femoral and/or tibial component. 

###

"," 

#####"
" Because the available evidence is of generally low quality, the results of this systematic review only support a weak recommendation for secondary patellar resurfacing if patient satisfaction and clinically important improvement of functional outcomes are the desired endpoints. 

###

"," 

#####"
" The lack of reported cases is probably due to the difficulty in establishing a cause-and-effect relationship. 

###

"," 

#####"
" Intracranial hypotension (IH) is a syndrome in which volume depletion of the cerebrospinal fluid (CSF) results in various neurological symptoms. 

###

"," 
volume depletion of the cerebrospinal fluid (CSF) | causes | neurological symptoms
#####"
"Most commonly, a small tear or defect in the spinal dural sac is the underlying lesion that results in a CSF leakage and IH. 

###

"," 
small tear in the spinal dural sac | causes | CSF leakage
defect in the spinal dural sac | causes | CSF leakage
small tear in the spinal dural sac | causes | IH
defect in the spinal dural sac | causes | IH
#####"
" Serious and potentially life-threatening clinical manifestations of acute leptospirosis are caused by both direct tissue invasion by spirochaetes and by the host immune responses. 

###

"," 
tissue invasion by spirochaetes | causes | clinical manifestations of acute leptospirosis
host immune responses | causes | clinical manifestations of acute leptospirosis
#####"
"In its severe form, leptospirosis can cause multi-organ dysfunction and death in a matter of days. 

###

"," 
leptospirosis | causes | multi-organ dysfunction
leptospirosis | causes | death
#####"
" Publications were included if they described the causes, diagnosis, treatment, and functional outcome of this syndrome. 

###

"," 

#####"
" The most common cause of gluteal compartment syndrome was prolonged immobilization. 

###

"," 
prolonged immobilization | causes | gluteal compartment syndrome
#####"
" The toxic dose was estimated as the lowest dose causing objective adverse effects.S

###

"," 

#####"
" For most antipsychotics the ingestion of one tablet caused symptoms that were sometimes severe and usually lasted from 1 to 3 days. 

###

"," 
antipsychotics | causes | symptoms
#####"
" Chlorpromazine caused CNS depression, hypotension and miosis; EPS and cardiac effects were rare, and the toxic dose was estimated to be 15 mg/kg. 

###

"," 
Chlorpromazine | causes | CNS depression
Chlorpromazine | causes | hypotension
Chlorpromazine | causes | miosis
Chlorpromazine | causes | EPS
Chlorpromazine | causes | cardiac effects
#####"
" Atypical antipsychotics caused significant CNS depression (except risperidone); EPS were less common. 

###

"," 
Atypical antipsychotics | causes | CNS depression
Atypical antipsychotics | causes | EPS
#####"
" In summary, unintentional antipsychotic ingestion in children can cause severe effects that last 1-3 days, often with one tablet. 

###

"," 
antipsychotic ingestion | causes | severe effects
#####"
" Due to the discomfort caused to patients, failure of subarachnoid blocks that happen occasionally even when properly conducted be the most capable professionals have been described since Bier. 

###

"," 
failure of subarachnoid blocks | causes | discomfort
#####"
"However, the concept of failure and especially identification of the causes vary. 

###

"," 

#####"
" This paper reports the first systematic review of uncommon causes of status epilepticus reported in the literature between 1990 and 2008. 

###

"," 

#####"
"Uncommon causes are defined as those not listed in the main epidemiological studies of status epilepticus. 

###

"," 

#####"
"181 causes were identified. 

###

"," 

#####"
" A sixth category of 'other causes' has also been included. 

###

"," 

#####"
" It is characterized by the absence of identified causes for CKD. 

###

"," 

#####"
" Any cartilage damage to the glenohumeral joint should be avoided, as these damages may result in osteoarthritis of the shoulder. 

###

"," 
cartilage damage | causes | osteoarthritis
#####"
" Cadmium, a widespread environmental pollutant, is a carcinogen that accumulates in the kidney cortex and is a cause of end-stage renal disease. 

###

"," 
Cadmium | causes | end-stage renal disease
#####"
" Infections are estimated to cause approximately 15% of the world's cancers with large geographic variations. 

###

"," 
Infections | causes | cancers
#####"
" A systematic literature search was performed for each infection to obtain data on infection prevalence in the population and the relative risk or odds ratio associated with the cancer it causes. 

###

"," 
infection | causes | cancer
#####"
" An extensive search was performed to locate research papers on childhood blindness prevalence and its causes in the community based and blind schools, respectively, conducted from 1990 onward up to the present. 

###

"," 

#####"
" The causes of childhood blindness from the available blind school studies revealed that causes of childhood blindness have mainly shifted from corneal causes to whole globe abnormalities. 

###

"," 
corneal causes | causes | childhood blindness
whole globe abnormalities | causes | childhood blindness
#####"
" Childhood blindness is one of the priority targets of Vision 2020-Right To Sight due to its impact on the psychological and social growth of the child. 

###

"," 

#####"
" Cerebral infarction caused by pituitary apoplexy (PA) is rare. 

###

"," 
pituitary apoplexy (PA) | causes | cerebral infarction
#####"
" Stroke is one of the commonest causes of mortality among the world. 

###

"," 
Stroke | causes | mortality
#####"
" Regarding the genetic causes of intracerebral hemorrhage (ICH) monogenic causes play a small role. 

###

"," 
genetics | causes | intracerebral hemorrhage (ICH)
monogenic causes | causes | intracerebral hemorrhage (ICH)
#####"
"The causes of SH can be classified as external, internal and intraarticular. 

###

"," 

#####"
"The clinician's goal is to determine the cause and treat patients who have symptomatic SH so that they may return to their activities or to athletic peak performance.M

###

"," 

#####"
" Arthroscopy may prove useful in the treatment of intraarticular lesions that are causing discomfort. 

###

"," 
intraarticular lesions | causes | discomfort
#####"
" The aim of this study is to analyze the causes of failure and to provide a treatment algorithm. 

###

"," 

#####"
" A morphological and functional pre-therapeutic evaluation is necessary to: (i) determine whether the symptoms are due to recurrence of reflux or to an error in initial indication and (ii) to understand the cause of the failure. 

###

"," 

#####"
